;;;;;t;r1;r2;n;;;;;t;r1;r2;n;;;;;;;t;r1;r2;n;d1;d2;alpha;
1;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;1;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;1;THORLABS;LA1257-A;76,18920018;22,5;4,1;38,6;1E+12;1,506633485;17,01974236;7,748787087;-5,42E-06;0,033737
2;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;2;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;2;THORLABS;LA1765-C;76,24841458;27;5,53;38,63;1E+12;1,506633485;17,02043222;7,751986627;-1,42E-06;0,033761
3;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;3;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;3;THORLABS;LA1145-C;76,24841458;45,72;12,52;38,63;1E+12;1,506633485;17,02041021;7,752848653;-1,42E-06;0,033761
4;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;4;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;4;THORLABS;LA1608-A;76,24841458;22,86;4,14;38,63;1E+12;1,506633485;17,0204392;7,751713006;-1,42E-06;0,033762
5;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;5;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;5;THORLABS;LA4078;76,72979143;45,72;14,14;34,5;1E+12;1,44962979;17,02934901;7,856217172;2,15E-06;0,034248
6;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;6;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;6;THORLABS;LA4725;76,72979143;22,86;4,42;34,5;1E+12;1,44962979;17,02932423;7,85719754;2,15E-06;0,034247
7;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;7;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;7;THORLABS;LA1740-B;86,41355398;67,5;24,18;43,78;1E+12;1,506633485;17,19501959;10,1776622;-1,38E-06;0,040012
8;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;8;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;8;THORLABS;LA4384;92,07574971;67,5;26,84;41,4;1E+12;1,44962979;17,27627042;11,56356504;-8,48E-06;0,042974
9;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;9;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;9;THORLABS;LBF254-100;101,5956128;22,86;4;60,02;-353,3;1,506633485;17,39161332;13,43611036;-7,80E-06;0,046799
10;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;10;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;10;THORLABS;LB1630-B;101,6490626;45,72;9,47;101,38;-101,38;1,506633485;17,39053595;10,58631544;5,52E-06;0,046596
11;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;11;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;11;THORLABS;LA1251-C;101,651394;22,5;3,6;51,5;1E+12;1,506633485;17,39042058;13,77304472;6,80E-06;0,046853
12;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;12;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;12;THORLABS;LA1251-B;101,651394;22,5;3,6;51,5;1E+12;1,506633485;17,39042058;13,77304472;6,80E-06;0,046853
13;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;13;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;13;THORLABS;LA1251-A;101,651394;22,5;3,6;51,5;1E+12;1,506633485;17,39042058;13,77304472;6,80E-06;0,046853
14;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;14;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;14;THORLABS;LA1251;101,651394;22,5;3,6;51,5;1E+12;1,506633485;17,39042058;13,77304472;6,80E-06;0,046853
15;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;15;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;15;THORLABS;LA1050-A;101,651394;45,72;9,69;51,5;1E+12;1,506633485;17,39044727;13,77120122;6,80E-06;0,046854
16;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;16;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;16;THORLABS;LA1050-B;101,651394;45,72;9,69;51,5;1E+12;1,506633485;17,39044727;13,77120122;6,80E-06;0,046854
17;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;17;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;17;THORLABS;LA1207-A;101,651394;11,43;2,19;51,5;1E+12;1,506633485;17,39040155;13,77435946;6,80E-06;0,046852
18;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;18;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;18;THORLABS;LA1207-B;101,651394;11,43;2,19;51,5;1E+12;1,506633485;17,39040155;13,77435946;6,80E-06;0,046852
19;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;19;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;19;THORLABS;LA1509-A;101,651394;22,86;3,59;51,5;1E+12;1,506633485;17,39040879;13,77385948;6,80E-06;0,046853
20;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;20;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;20;THORLABS;LA1509;101,651394;22,86;3,59;51,5;1E+12;1,506633485;17,39040879;13,77385948;6,80E-06;0,046853
21;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;21;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;21;THORLABS;LA1031-A;101,651394;27;4,73;51,5;1E+12;1,506633485;17,39041331;13,77354694;6,80E-06;0,046853
22;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;22;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;22;THORLABS;LA1238-A;101,651394;67,5;19,19;51,5;1E+12;1,506633485;17,39050726;13,76705724;6,80E-06;0,046856
